"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"R4";"R4";1;"470";;;
2;"C1";"C1.5V8V";1;"100uF";;;
3;"R2";"R4";1;"10K";;;
4;"U4";"Teensy_3.5";1;"Teensy_3.5";;;
5;"C16";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"100nF";;;
6;"D2";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"D_Schottky";;;
7;"P1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Power IN 7,4V";;;
8;"P4";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"LEG 5";;;
9;"P5";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Leg 3";;;
10;"P7";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Leg 2";;;
11;"P8";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Leg 4";;;
12;"P9";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Leg 1";;;
13;"R1";"R4";1;"82K";;;
14;"R3,R5";"R4";2;"1K";;;
15;"D1";"LED_D3.0mm";1;"LED";;;
16;"P6";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"Reset Conn Button";;;
17;"P3";"Pololu_D24V50F5";1;"D24V50F5";;;
18;"REL1";"Relay_HF49FD";1;"HF49FD";;;
19;"SW2";"SW_PUSH_6mm";1;"reset";;;
20;"Q1";"TO-92_Inline_Wide";1;"BC337(o.ä.)";;;
21;"J2";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"UART6 Connector";;;
22;"J3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Odroid Power";;;
23;"J4";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Power Switch & LED";;;
24;"J1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Cortex Serial CLI";;;
25;"P2";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"BNO055";;;
26;"J5";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"LevelShifter_in";;;
27;"J6";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"LevelShifter-Out";;;
28;"J7";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Cortex I2C CLI";;;
